statename,activity
Alabama,4.269230769230769
Alaska,1.3076923076923077
Arizona,1.2307692307692308
Arkansas,1.25
California,1.4230769230769231
Colorado,1.2307692307692308
Connecticut,1.0
Delaware,0.6538461538461539
District of Columbia,0.11538461538461539
Florida,1.1153846153846154
Georgia,1.1346153846153846
Hawaii,1.5384615384615385
Idaho,1.6730769230769231
Illinois,2.230769230769231
Indiana,1.3846153846153846
Iowa,0.9615384615384616
Kansas,1.5384615384615385
Kentucky,1.0
Louisiana,1.7115384615384615
Maine,1.0
Maryland,1.4230769230769231
Massachusetts,1.3076923076923077
Michigan,1.0769230769230769
Minnesota,1.2307692307692308
Mississippi,1.4807692307692308
Missouri,1.8269230769230769
Montana,1.0192307692307692
Nebraska,1.1153846153846154
Nevada,1.3846153846153846
New Hampshire,1.0
New Jersey,1.0
New Mexico,1.1346153846153846
New York,1.0
New York City,1.9038461538461537
North Carolina,1.0961538461538463
North Dakota,1.1730769230769231
Ohio,1.0
Oklahoma,1.75
Oregon,1.1923076923076923
Pennsylvania,1.0
Rhode Island,1.0
South Carolina,1.0576923076923077
South Dakota,1.5576923076923077
Tennessee,1.1538461538461537
Texas,1.8461538461538463
Utah,1.75
Vermont,1.3846153846153846
Virginia,1.5576923076923077
Washington,1.4807692307692308
West Virginia,1.0
Wisconsin,1.0384615384615385
Wyoming,1.0384615384615385
